Alemão,Português
beibringen,ensinar
nelson,Nelson
ex,ex
belohnung,recompensa
seelen,alma
steine,pedras
garage,garagem
scheißkerl,merda
gestört,perturbado
cooper,tanoeiro
ruhen,descansar
pillen,pílulas
gepäck,Bagagem
carol,Carol
norman,normando
zoe,Zoe
amerikanischen,americano
telefonieren,fazer uma ligação
heirate,casado
erkenne,reconhecer
funk,Sem fio
grüß,saudações
hurensohn,Filho da puta
mögliche,possível
spring,pular
uni,Universidade
scheinbar,aparentemente
fakten,fatos
informieren,informar
jugend,juventude
feier,celebração
wenigen,alguns
söhne,filhos
benzin,gasolina
nix,nada
vampire,Vampiros
erkennt,reconhece
sicherer,mais segura
zigaretten,cigarros
dummes,estúpido
mauer,parede
erneut,um novo
flügel,asa
schluck,trago
hierbleiben,fique aqui
abschluss,diploma
christus,Cristo
bezahle,pagar
böses,mal
dummkopf,enganar
gerüchte,rumores
eingestellt,definir
m.,m.
weitergehen,prossiga
technik,tecnologia
ali,todos
bezweifle,dúvida
piper,Piper
over,sobre
gekostet,provado
anzeige,anúncio
wohnst,vivendo
hans,Hans
ergebnis,resultado
bedingungen,condições
brad,Brad
aufzuhalten,parar
versprich,promessa
verdiene,merecer
geschnappt,bateu
francis,Francis
eile,Pressa
innen,Dentro
italien,Itália
einig,Alguns
verhandeln,negociar
weswegen,e é por isso
nützlich,útil
inneren,dentro
gentleman,cavalheiro
felix,Felix
vergesse,esquecer
dunkle,escuro
warnung,aviso
gemeinde,comunidade
diamanten,diamante
wächst,cresce
gewöhnlich,geralmente
seil,corda
bär,urso
euro,Euro
großartige,ótimo
beth,Beth
ware,bens
traurige,triste
persönliche,pessoal
figur,figura
time,tempo
roboter,robô
anschauen,Olhe para
kürzlich,recentemente
material,material
paula,Paula
käme,viria
stellst,lugar
bereitet,preparado
einfallen,ter uma ideia
käfig,Jaula
fantasie,fantasia
brach,quebrado
satz,frase
kommissar,comissário
exzellenz,excelência
schuldest,dever
nass,molhado
rächen,vingança
womöglich,possivelmente
begrüßen,saudar
lou,Lou
davis,Davis
überraschen,para surpreender
menschlichen,humano
repariert,reparado
führung,guia
gestanden,preso
jacob,Jacob
schütze,proteger
störe,esturjão
nina,Nina
filmen,filme
jobs,empregos
maschinen,máquinas
unterlagen,documentos
palast,Palácio
graben,escavação
kette,corrente
auftauchen,virar para cima
interessante,interessante
wovor,qual
springt,pular
terroristen,terrorista
stan,Stan
bekämpfen,lutar
lärm,barulho
flehe,suplicando
aufgewachsen,cresceu
arbeiter,trabalhador
größere,maior
humor,humor
betrachten,respeito
be,ser
organisation,organização
widerstand,resistência
bergen,montar
studio,Estúdio
hausaufgaben,trabalho de casa
vögeln,Porra
bescheuert,estúpido
weggehen,vá embora
teller,Placa
original,original
revolution,revolução
hitler,Hitler
mädel,garota
verbinden,conectar
nathan,Nathan
ermittlungen,investigação
steck,plugue
wäsche,Lavanderia
rätsel,quebra-cabeça
besonderen,especial
hunderte,centenas
versetzt,escalonado
bibel,Bíblia
heiliger,sagrado
reiß,rasgar
kopie,cópia de
besitzen,ter
zeitungen,jornais
zurückgekommen,voltar
süßes,doce
barbara,Barbara
ungewöhnlich,incomum
höhe,altura
geschaffen,criada
beschreiben,descrever
ausgesucht,Selecione
notwendig,necessário
dunklen,escuro
ignorieren,ignorar
toter,Morto
deck,área coberta
narr,enganar
scheißegal,Eu não dou a mínima
höchstens,no máximo
übersehen,negligenciar
geirrt,malvado
darunter,debaixo de
außen,Fora
einzig,apenas
stirbst,morrer
lhren,LC
spielchen,jogo
girl,garota
fahrrad,bicicleta
nutte,prostituta
wilde,selvagem
jordan,Jordânia
bequem,confortável
rauch,fumaça
verschiedenen,diferente
kamst,Kamst
l,eu
betty,Betty
pool,piscina
hubschrauber,helicóptero
wüssten,saber
erstmal,por agora
kollege,colega
vernichtet,destruído
gesichter,rostos
derselbe,o mesmo
hattet,tive
konto,conta
freie,livre
casey,Casey
haken,gancho
munition,munição
sünde,pecado
militär,militares
gefasst,capturado
anzeichen,Sinais
geklappt,conseguiu
hintergrund,fundo
erwähnen,menção
tipp,dica
reißen,rasgar
keins,não
genial,brilhante
berichte,relatório
kram,porcaria
schnapp,foto
solle,deve
randy,Randy
umziehen,mover
zunächst,primeiro
keinerlei,nenhum
typisch,típica
bietet,ofertas
leb,vida
technologie,tecnologia
john-boy,John-Boy
ruinieren,ruína
jünger,mais jovem
poirot,Poirot
umso,O mesmo
starben,morrer
rette,economizando
triffst,encontrar
unhöflich,indelicado
safe,seguro
anzurufen,chamar
universität,universidade
#VALOR!,#Valentia!
heben,elevador
koch,um cozinheiro
derselben,o mesmo
katastrophe,catástrofe
male,vezes
olivia,Olivia
prüfung,teste
brown,marrom
gesetze,leis
meeting,reunião
versicherung,seguro
getragen,carregou
ehefrau,esposa
mitmachen,participar
tauschen,intercâmbio
ergebnisse,resultados
boston,Boston
reg,Reg
einstellen,definir
reagieren,reagir
gefehlt,em falta
verwandeln,transformar
gedauert,levado
senden,enviar
blair,Blair
reporter,repórter
abgeben,entregar
mm,milímetros
parker,Parker
anhören,ouvir
bibliothek,biblioteca
japan,Japão
hinsetzen,sentar-se
hannah,Hannah
serena,Serena
motiv,motivo
paige,Paige
schalten,trocar
derek,Derek
gewöhnen,Acostume -se a
lernte,aprendido
vereinigten,unido
gewicht,peso
zweiter,segundo
badezimmer,banheiro
schieben,empurrar
dreimal,Três vezes
weich,macio
echtes,real
zweitens,Segundo
drachen,pipa
bahnhof,estação ferroviária
erschöpft,Exausta
genauer,mais preciso
verlange,preocupação
spanisch,Espanhol
verrat,Traição
hexen,bruxa
live,ao vivo
legende,lenda
taub,surdo
freu,feliz
konzert,show
hopp,saltitar
wiederzusehen,olhe para trás
doppelt,dobro
last,carregar
vergleich,comparação
böser,mal
herzlich,sincero
monica,Monica
taschen,bolsos
genügt,suficiente
besucher,Visitante
spanien,Espanha
großzügig,generoso
teddy,Urso de pelúcia
hauses,casa
leihen,emprestar
scheiden,dividir
einstellung,atitude
köstlich,precioso
watson,Watson
einheiten,unidades
wichtigen,importante
go,ir
warne,aviso
russland,Rússia
angeschossen,tomada
sammy,Sammy
pierre,Pierre
sklaven,escravos
laune,humor
gesamten,todo
stille,silêncio
asche,cinzas
geflogen,voar
spion,espião
what,o que
aaron,Aaron
weihnachtsmann,Papai Noel
hervorragend,maravilhoso
can,pode
verärgert,incomodado
puppe,fantoche
überfall,ataque
unwichtig,sem importância
santa,Papai Noel
linke,esquerda
übung,uma prática
buffy,Buffy
franzosen,pessoas francesas
wehgetan,ferir
schwäche,fraqueza
couch,sofá
cousine,primo
grant,conceder
atme,respiração
irgendeinem,qualquer
unterstützt,apoia
oscar,Oscar
ausdruck,expressão
pleite,quebrado
beleidigt,insultado
knopf,botão
stop,Parar
schlimme,maldade
beweist,comprovado
katie,Katie
dramatische,dramático
heutigen,hoje
leere,vazio
island,Islândia
shane,Shane
daisy,margarida
trinkst,bebida
heimlich,secretamente
eingehen,entrar em
rad,roda
greift,agarra
mächtig,poderoso
williams,Williams
sinnlos,sem sentido
versaut,sujo
netz,rede
atem,respiração
anstellen,configurar
milliarden,bilhões
flotte,frota
umgebung,proximidade
mitbringen,trazer consigo
beteiligt,envolvido
dunkeln,escuro
entwickeln,desenvolver
schämen,Estar envergonhado
erwachsene,adulto
zack,Jack
durchsuchen,procurar
hollywood,Hollywood
rollen,rolar
vergesst,esquecido
tricks,truques
plätze,lugares
gefangene,prisioneiro
sünden,pecados
sender,Canal
verlass,deixar
räumen,claro
lerne,aprender
rettet,salvou
hinweise,dicas
ausreden,desculpas
alexander,Alexander
mommy,Mamãe
diejenige,único
nächte,noites
herrscht,prevalece
bud,Bud
jahres,ano
dna,DNA
romantisch,romântico
flüstert,sussurrou
drück,empurrando
jeremy,Jeremy
bedanken,agradecer
verabredet,ter uma consulta
pilot,piloto
colt,potro
nigger,negro
reizend,amável
grade,apenas
stanley,Stanley
leib,corpo
stecke,ponto
scheisse,Porra
ärztin,doutor
vergewaltigt,estuprado
mußt,deve
lieferung,entrega
botschafter,embaixador
studieren,estudar
köpfe,cabeças
duschen,tomar um banho
kopfschmerzen,dor de cabeça
öl,óleo
knarre,ranger
sekretärin,secretário
phase,Estágio
handschellen,algemas
lewis,Lewis
versehen,Erro
bande,banda
treu,fiel
positiv,positivo
meiste,maioria
museum,museu
albtraum,pesadelo
margaret,Margaret
verlobt,noivo
besiegt,derrotado
existieren,existir
könne,pode
proben,ensaiar
beschissen,merda
gewinne,lucro
personal,funcionários
christian,cristão
bewaffnet,armado
fällen,caiu
wecken,acordar
wirkung,efeito
kurt,Kurt
connor,conhecedor
rebecca,Rebecca
therapie,terapia
travis,Travis
amüsieren,divertir
ordentlich,ordenadamente
weglaufen,fugir
aufgewacht,acorde
nähern,abordagem
decken,cobrir
sinne,sentidos
leutnant,tenente
zauberer,mago
hogan,Hogan
bittet,pergunta
ankunft,chegada
klopft,torneiras
abstand,distância
bewusstsein,consciência
nation,nação
kontrolliert,controlada
treffer,bater
abnehmen,perder peso
ratten,rato
anwälte,advogados
tempel,têmpora
vergiftet,envenenado
kunde,cliente
august,Agosto
wunden,ferimento
unangenehm,desagradável
ausrüstung,equipamento
segen,bênção
präsentiert,presentes
schließ,bloqueio
kehle,garganta
krone,Coroa
garantiert,garantido
durchsucht,pesquisado
president,Presidente
tracy,Tracy
verfluchte,amaldiçoado
bestimmten,certo
clay,argila
ladies,senhoras
b.,b.
ladung,cobrar
beinen,pernas
hell,brilhante
kent,Kent
kapitel,capítulo
chase,perseguir
benutze,usar
alibi,álibi
ziele,metas
bestie,fera
gus,elenco
nirgends,em lugar nenhum
wohnzimmer,sala de estar
beute,presa
bau,prédio
brennen,queimar
lex,Lex
durst,sede
logan,Logan
schwarzer,preto
schmutzig,sujo
liebhaber,Amante
ersetzen,substituto
juli,Julho
verfahren,procedimento
kirk,Kirk
stiefel,botas
inspector,Inspetor
allzu,também
camp,acampamento
dürft,poderia
orten,lugar
hitze,aquecer
spielzeug,brinquedo
tv,televisão
gloria,Gloria
wolle,lã
knurrt,amassado
meldet,relatórios
rita,Rita
zone,Zona
trocken,seco
lincoln,Lincoln
schreibst,escrever
audrey,Audrey
quinn,Quinn
probier,tentar
le,le
kids,crianças
unterschrieben,assinado
do,fazer
heulen,uivo
entschlossen,determinado
paket,pacote
gefiel,apreciado
bekamen,pegar
netten,legal
geheime,segredo
jennifer,Jennifer
aktiviert,ativado
ausweg,saída
hinweg,perdido
schmuck,joia
ausgang,saída
wunderschöne,lindo
zurückkommt,retorna
ann,Ann
illegal,ilegal
ferien,feriados
persönlichen,pessoal
geiseln,refém
segne,abençoar
normaler,normal
steuer,imposto
aufgepasst,cuidadoso
murphy,Murphy
raumschiff,nave espacial
dummen,estúpido
weißer,mais branco
ausbildung,Educação
klavier,piano
hauptsache,coisa principal
admiral,almirante
entgegen,em contraste com
fasse,pegada
strecke,rota
julian,Julian
version,versão
hilfreich,útil
schweren,forte
h,H
jahrelang,por anos
leeren,esvaziar
küste,costa
baron,barão
behörden,autoridades
grüße,saudações
geklärt,claro
bruders,irmão
kaufte,comprado
stone,pedra
puls,Pulso
blue,azul
flur,corredor
denselben,o mesmo
rettung,resgatar
widerlich,nojento
parkplatz,vaga de estacionamento
katzen,gatos
laster,vício
sozusagen,por assim dizer
mittwoch,Quarta-feira
unschuldige,inocente
abwarten,espere
grandma,avó
florida,Flórida
re,ré
grünen,Verdes
könntet,Poderia
aufnahmen,Gravações
vision,visão
schauspielerin,atriz
passe,encaixa
sing,cantoria
glückliche,sortudo
highschool,ensino médio
friedhof,cemitério
irrtum,erro
klienten,cliente
nervt,chato
leidet,sofre
reverend,revertendo
trainieren,trem
gegenwart,presente
zurückbringen,retornar
herman,Herman
protokoll,protocolo
studenten,alunos
durchaus,bastante
grausam,horrível
höchste,Altíssima
verwickelt,envolvido
schmecken,sabe bem
klappen,ter sucesso
apropos,Falando
liz,Liz
alfred,Alfred
ansonsten,de outra forma
wade,panturrilha
missverständnis,mal-entendido
mitglieder,membros
motorrad,motocicleta
mickey,Mickey
blicken,olhar
glücklicher,mais feliz
hübschen,bonito
dicke,grossura
gewünscht,desejado
gejagt,caçou
diejenigen,aqueles
diskutieren,discutir
pinkeln,fazer xixi
huhn,frango
erheben,elevação
paradies,paraíso
tagebuch,diário
möglichen,possível
jenseits,além
arschlöcher,Idiota
apartment,apartamento
mason,pedreiro
pfeift,assobiar
dieselben,o mesmo
wilden,selvagem
vergaß,esquecido
enttäuschen,decepcionar
greg,Greg
konsequenzen,consequências
fleck,ver
macgyver,MacGyver
führerschein,carteira de motorista
online,on-line
bete,oração
verdächtige,suspeito
enkel,Neto
normalen,normal
stift,caneta
interview,entrevista
süßen,adoçar
riesige,enorme
aussicht,panorama
ned,Ned
wiederkommen,voltar
werbung,anúncio
warf,jogou
telefoniert,Telefone
anblick,visão
einzelnen,Individual
teppich,tapete
hielten,mantido
handel,troca
gekannt,conhecido
getrieben,dirigido
trainer,Treinador
scully,Scully
schuh,sapato
bomben,bombas
kämpfer,lutador
victoria,Victoria
bedenken,para refletir
sitzung,reunião
ken,Ken
sicheren,seguro
verkaufe,vender
ron,Ron
tapfer,corajoso
experiment,experimentar
besorge,pegar
tiefe,profundidade
narren,enganar
abgeholt,pegou
abhalten,parar
bestimmte,especial
laufenden,correndo
auftaucht,Aparece
school,escola
löschen,extinguir
tara,Tara
sebastian,Sebastian
mies,ruim
sarg,caixão
r,r
vertragen,tolerar
gebissen,mordido
geheimen,segredo
drinks,bebida
schlief,dormiu
tradition,tradição
soeben,apenas
komische,estranho
schultz,Schultz
aufgehalten,parou
fähigkeit,capacidade
attraktiv,atraente
begriff,expressão
versichere,assegurar
schilde,escudo
legte,colocar
mitteilen,comunicar
sdh,Sdh
gemütlich,aconchegante
muster,padrão
versprach,prometido
überwachen,monitor
eingeschlafen,adormeceu
schlimmsten,pior
verlierst,perder
einzelne,separado
vergib,perdoar
vorbeikommen,mudar de idéia
aua,AUA
brüste,seios
sandwich,sanduíche
gewinner,ganhador
verständnis,entendimento
g,G
raymond,Raymond
papst,papa
toast,brinde
matthew,Mateus
einsteigen,Entrem
löwen,leão
einsetzen,inserir
gewinn,lucro
schüchtern,tímido
scheinst,parecer
pflanzen,plantar
green,verde
sheldon,Sheldon
christopher,Christopher
hätt,teria
coach,treinador
werte,valores
modell,modelo
übernimmt,assume o controle
walton,Walton
heftig,violento
vorfall,incidente
motel,motel
teams,equipe
irgendeinen,qualquer
müsstest,deve
freier,trabalhador autonomo
zirkus,circo
ruhm,Fama
zurzeit,Atualmente
ausmachen,desligar
rezept,receita
töchter,filha
laute,Alaúde
akzeptiert,aceitaram
geschwindigkeit,velocidade
beliebt,popular
verpflichtet,obrigado
betrüger,trapaceiro
lohnt,que vale a pena
märchen,conto de fadas
blöder,estúpido
becky,Becky
wille,vai
hügel,colina
königreich,reino
dennis,Dennis
kehren,dobrar
baut,construir
chinesen,chinês
gesichert,garantido
michel,Michel
ruth,Ruth
block,bloquear
belogen,mentiu
malen,pintar
kofferraum,porta-malas
road,estrada
bursche,cara
erin,Erin
geständnis,confissão
ausgegangen,saiu
begreifen,entender
dana,Dana
blitz,raio
löst,solta
furcht,temer
jersey,Jersey
ernstes,sério
verteilt,distribuído
bezüglich,com referência a
faszinierend,fascinante
aufmerksam,atencioso
aufregung,excitação
wendy,Wendy
ethan,Ethan
orte,lugares
entführung,sequestro
keucht,suspiro
erhielt,recebido
treue,lealdade
felsen,pedra
malcolm,Malcolm
kurzen,brevemente
zorn,raiva
taucht,mergulhando
bestimmen,determinar
ausgesetzt,expor
zurückgeben,devolver
verkehr,tráfego
bewiesen,comprovado
generation,geração
liebste,favorito
ausrichten,transmitir uma mensagem
ausnahme,exceção
ebene,nível
herrlich,esplêndido
stürzen,derrubar
herausforderung,desafio
gefälligst,poderoso
farben,cores
geliebten,amante
ankommen,chegar
tempo,tempo
unterbrechen,interromper
kindes,criança
babe,bebê
erden,terra
schrecklichen,Terrível
falsches,falso
täuschen,Enganar
tal,vale
irgendwer,alguém
deins,seu
witwe,viúva
sichern,para fazer backup
gerede,falar
betrug,fraude
trauer,pesar
anwesenheit,presença
bilden,forma
gewachsen,crescido
ausflug,viagem lateral
jill,Jill
verlaufen,se perder
rand,borda
kenny,Kenny
rechnen,calcular
aufzug,elevador
befragen,consultar
wegnehmen,remover
abschied,despedindo
benötigen,exigir
pst,PST
amt,escritório do governo
reiche,rico
otto,Otto
beginn,começo
daumen,dedão
bestrafen,punir
clarence,Clarence
weine,vinhos
fremder,estranho
sachte,suavemente
identifiziert,identificado
gestehen,confessar
mac,Mac
owen,Owen
morris,Morris
riesig,gigantesco
entscheide,decisões
koma,coma
prinzen,Principe
bewusstlos,inconsciente
county,condado
marke,marca
harter,mais difícil
hill,colina
höflich,educado
jude,judeu
setzte,definir
besorg,preocupação
absichtlich,intencionalmente
vermasselt,estragado
verschlossen,trancado
sowie,assim como 
gesang,cantoria
gedreht,virado
ford,Ford
religion,religião
ey,Congestão
unterschrift,assinatura
rosen,rosas
persönliches,pessoal
queen,rainha
fortschritte,progresso
eingang,entrada
zugehört,Ouvido
biete,oferecer
clara,Clara
vorhaben,plano
kultur,Cultura
patientin,paciente
stephen,Stephen
explodiert,explodiu
nichte,sobrinha
verzichten,renunciar
steven,Steven
harris,Harris
existenz,existência
drehbuch,roteiro
football,futebol
anzusehen,assistir
ohnmächtig,inconsciente
zaun,cerca
anthony,Anthony
geladen,carregado
guckt,olhar
privat,Privado
peg,Peg
brauchten,necessário
liam,Liam
heb,Heb
virginia,Virgínia
wächter,Guardião
eimer,balde
blasen,soprar
rakete,foguete
salz,sal
unfair,injusto
verzeiht,perdoar
esel,burro
krankenschwester,enfermeira
symbol,símbolo
entscheidet,decidir
fahrzeug,veículo
unterwäsche,roupa de baixo
betrachtet,visto
bauern,agricultores
engländer,pessoas inglesas
wartete,estava esperando
schaust,olhar
genossen,curtiu
tropfen,gotas
probiert,julgamento
spock,Spock
café,cafeteria
verhungern,Morrer de fome
versuchten,tentada
mütter,mães
september,Setembro
aktion,Ação
bestanden,passado
haaren,cabelo
louise,Louise
schluchzt,soluçando
übertrieben,exagerado
heilmittel,remédio
apparat,aparelho
vorm,em frente
friedlich,pacífico
richtiges,certo
zuschauer,espectadores
teenager,adolescente
geliefert,entregue
may,Poderia
gestritten,brigando
maus,rato
lediglich,apenas 
charakter,personagem
riley,Riley
krass,legal
weiterer,avançar
group,grupo
ricky,Ricky
diana,Diana
geräusche,Sons
lichter,luz
starken,fortalecer
dexter,destro
staffel,Series
flaschen,garrafa
putzen,limpar
einbruch,Roubo
geheilt,curado
beißen,morder
nicole,Nicole
stammen,vir
wände,paredes
befürchte,temer
kostüm,fantasia
warren,Warre
grüßen,cumprimentar
versagen,falhar
übernommen,aceitaram
hoffte,esperava
verschieben,adiar
verspätung,atraso
whiskey,uísque
mars,Marte
media,meios de comunicação
entdecken,descobrir
traue,caminhão
thron,trono
riesigen,enorme
zelt,barraca
akzent,sotaque
truppe,tropa
übertragen,transferir
kompliment,elogio
flammen,Chamas
erkennst,reconhecível
erschrecken,amedrontar
gemälde,pintura
ari,Ari
walt,Walt
chip,lasca
mannschaft,equipe
cindy,Cindy
loyalität,lealdade
benjamin,Benjamin
dankeschön,Muito obrigado
vertreten,representar
verhandlung,negociação
lernst,aprender
brüllt,rugindo
füllen,preencher
letztendlich,finalmente
krise,crise
verlierer,perdedor
spencer,Spencer
with,murchar
kekse,biscoitos
ausschalten,desligar
penis,pênis
profi,profissional
whisky,uísque
erledige,fazer
gelächter,risada
fängst,desbotando
erklär,explicação
einspruch,objeção
angeln,pescaria
rausgehen,sair
monk,monge
kaution,depósito
eures,seu
gesessen,sentado
verrate,trair
kehrt,voltas
boy,garoto
summe,total
lade,carregar
billig,barato
curtis,Curtis
bernard,Bernard
juni,Junho
gerissen,rachado
festgenommen,preso
ralph,Ralph
befohlen,ordenado
überlege,pensar
koordinaten,coordenadas
flog,voou
herzinfarkt,Ataque cardíaco
hinlegen,Abaixe
nahrung,comida
liege,lounger
geflohen,fluxo
knall,Bang
nebenbei,ao lado
mylord,meu Senhor
nachbar,vizinho
küss,beijo
lhrem,LHREM
geleistet,feito
nutzt,usos
fröhliche,feliz
nebel,névoa
front,frente
veränderung,mudar
affe,macaco
kontaktieren,contactar
brand,fogo
fuhren,liderar
zwischenzeit,Enquanto isso
eingesetzt,usado
anton,Anton
philip,Philip
megan,Megan
schlimmeres,pior
rennt,correr
anlegen,investir
nachzudenken,pensar
schwör,jurar
übliche,usual
kreatur,criatura
verderben,estragar
medizinische,médico
besetzt,ocupado
zugriff,acesso
kanal,canal
blutdruck,pressão arterial
grüne,Verdes
ausgeben,gastar
papi,pai
clown,palhaço
lhrer,LHRER
sonny,Sonny
schwören,jurar
hühnchen,frango
arten,espécies
aufgebaut,construído
sydney,Sydney
betrügen,enganar
steele,Steele
trank,Poção
glatt,suave
trainiert,treinado
indien,Índia
autor,autor
geweint,louco
blume,flor
verletzungen,ferimentos
special,especial
zwillinge,Gêmeos
mia,Mia
reißt,choroso
zeigst,mostrar
stirb,morrer
justin,Justin
diane,Diane
gefickt,Fodido
schlägst,inclinado
moskau,Moscou
erwartest,esperado
gestoßen,esbarrado
durchgehen,ir através
praxis,prática
gründlich,minucioso
benny,Benny
eingeschlossen,trancado para dentro
tragödie,tragédia
vollständig,completo
psychiater,psiquiatra
rasse,corrida
lance,lança
vertraust,confiante
kummer,pesar
eigener,ter
christine,Christine
partei,Partido politico
zentrum,Centro
testament,testamento
entfernung,distância
private,privado
welten,mundo
verlegen,envergonhado
heroin,heroína
erfuhr,com experiência
gelände,terreno
kutsche,treinador
dummer,mais burro
homer,Homer
stabil,estábulo
ausgeschlossen,excluído
#VALOR!,#Valentia!
draus,de
aufgehoben,levantado
single,solteiro
regisseur,Diretor
vielmals,muitas vezes
dylan,Dylan
bestand,duração
k,K
erbe,herança
weggelaufen,Fugir
jim-bob,Jim-Bob
noah,Noé
leichte,luz
zuständig,responsável
losgehen,ir
long,longo
hustet,tosse
brutal,brutalmente
besprochen,discutido
halbes,metade
bargeld,Dinheiro
peggy,Peggy
action,Ação
zusammenarbeiten,trabalhar juntos
beunruhigt,perturbado
achte,oitavo
innere,interno
kanone,canhão
eklig,nojento
x,X
armes,pobre
avenue,Avenida
öffentlich,público
nützt,benéfico
marine,marinho
brillant,brilhante
köder,isca
gespräche,conversas
nähert,de costura
vorgehen,Continuar
kleinigkeit,pequena coisa
kissen,travesseiro
manny,Manny
geisel,refém
gerecht,apenas
trost,consolação
gehasst,odioso
a.,a.
gesorgt,preocupado
archer,Arqueiro
spinner,Crackhead
vergebung,perdão
vieh,gado
schnelle,rápido
normales,normal
gefesselt,amarrado
lautes,alto
kalte,frio
leitet,guiado
angehen,abordagem
ekelhaft,nojento
salat,salada
schicht,camada
intelligent,inteligente
meg,Meg
verhältnis,relação
socken,meia
brieftasche,carteira
holly,Azevinho
packt,embalado
eventuell,possível
nirgendwohin,em lugar nenhum
methode,método
gelangen,alcançar
gespannt,tenso
vernunft,razão
zurückgehen,volte
regnet,chuva
drama,drama
entspannt,relaxado
wörter,palavras
klingeln,anel
ruhige,calma
sprung,Salto
anständig,respeitável
gangster,gângster
harten,duro
aufzeichnungen,registros
ofen,forno
cowboy,vaqueiro
endgültig,finalmente
aufgaben,tarefas
ruh,calma
deutsch,Alemão
neil,deslizar
wodka,vodka
know,Saiba -it -Al
air,ar
respektieren,respeito
riskant,arriscado
lohn,salário
zuviel,demais
zustimmen,concordar
schnaps,Schnapps
troy,Troy
stufe,etapa
erleichtert,aliviado
scheune,celeiro
vanessa,Vanessa
klink,clink
spaziergang,passeio
katherine,Katherine
zettel,observação
kotzen,vomitar
blödmann,idiota
hurra,Viva
lana,Lana
symptome,sintomas
vorfahren,Antepassados
nutzlos,inútil
shaw,Shaw
telefonnummer,número de telefone
nochmals,de novo
grey,cinza
medien,meios de comunicação
faul,preguiçoso
dient,servido
russell,Russell
ereignisse,eventos
aussuchen,escolher
verprügelt,espancado
zweites,segundo
sherlock,Sherlock
fabelhaft,fabuloso
klinge,lâmina
leistung,Perfomance
beileid,simpatia
castle,castelo
durchführen,levar a cabo
mitchell,Mitch
eröffnen,abrir
unschuld,inocência
seist,SIST
stoßen,ressalto
palmer,Palmer
like,Como
genügend,suficiente
sofa,sofá
gestatten,permitir
gekocht,cozinhou
biest,fera
lydia,Lydia
bräuchte,precisar
ausgelöst,provocado
väter,pais
verarscht,Flare -Down
butter,manteiga
nachbarschaft,vizinhança
villa,Villa
data,dados
goldene,dourado
schließe,fecho
saft,suco
begehen,comprometer-se
hauptquartier,quartel general
geschworen,jurado
abgenommen,diminuído
werkstatt,oficina
überreden,convencer
nannten,chamado
gemüse,vegetais
schläger,bastão
frisst,comendo
bewundere,admirador
geschieden,divorciado
assistentin,assistente
wettbewerb,concorrência
lebten,vivido
sieger,ganhador
verfassung,constituição
küsst,beijo
fußball,futebol
geschnitten,corte
master,mestre
quietschen,rangido
füttern,alimentar
gürtel,cinto
unschuldigen,inocente
menschlich,humano
eigenartig,peculiar
oje,oh
hanna,Hanna
kabel,cabo
duke,duque
franz,Franz
zahn,dente
landet,Aterrissar
kisten,caixa
liegst,mentindo
mona,Mona
krankenstation,em uma enfermaria
leine,corda
beschreibung,descrição
ausmacht,inventar
beschädigt,danificado
grundstück,propriedade
steckte,preso
bahn,trilho
turm,torre
mine,meu
sauerstoff,oxigênio
nö,não
angesichts,diante de
ll,Ll
versager,falha
deinetwegen,por causa do seu bem
vic,Vic
angeklagt,acusado
aufhört,parada
baden,banho
knacken,rachadura
verbindungen,links
panzer,tanque
marcel,Marcel
bach,fluxo
leiser,mais tranquilo
stimmengewirr,emaranhados vocais
zerstörung,destruição
stirn,testa
finn,Finn
sanft,macio
kloster,mosteiro
charmant,encantador
aufbauen,acumular
thanksgiving,Ação de graças
anlass,razão
zähle,dureza
verlieben,se apaixonar
atmosphäre,a atmosfera
ronnie,Ronnie
samantha,Samantha
leber,fígado
jener,que
begegnen,encontro
dämlich,estúpido
krawatte,gravata
juan,Juan
tarnung,camuflar
kanada,Canadá
alpha,alfa
baker,padeiro
tabletten,comprimidos
faust,punho
auftreten,aparecer
monroe,Monroe
blatt,folha
gelöscht,desligado
dschungel,selva
alison,Alison
niedlich,bonitinho
c.,c.
klage,ação legal
wolltet,desejado
jonas,Jonas
akt,agir
schießerei,tiroteio
anwältin,advogado
überleg,considerar
frisur,Penteado
spruch,ditado
jene,aqueles
moral,moral
angelegenheiten,romances
dokumente,Documentos
fröhlich,alegre
spezies,espécies
oktober,Outubro
schachtel,caixa
opfers,vítima
noten,notas
ellie,Ellie
irgendwohin,em algum lugar
nora,Nora
brunnen,primavera
toby,Toby
sandy,Sandy
lampe,lâmpada
craig,Craig
jagt,Caçando
eigentum,propriedade
diebstahl,roubo
spenden,doar
betrieb,Operação
gemeinsame,comum
absurd,absurdo
gegensatz,contraste
frühling,primavera
dünn,afinar
ausland,fora do país
schultern,Ombros
entwicklung,desenvolvimento
vergehen,passar
ahnen,suspeito
verbessern,melhorar
herzog,duque
diskussion,discussão
gehalt,salário
lemon,limão
freak,doido
glocke,Jarra de sino
forschung,pesquisar
geradeaus,direto em frente
fette,gordo
iris,íris
rechnungen,contas
kasse,dinheiro
tödlich,fatal
tieren,Contos
ian,Ian
oberfläche,superfície
gitarre,guitarra
bedienen,servir
#VALOR!,#Valentia!
zwang,obrigação
marsh,Pântano
politiker,Político
bären,urso
vereint,unido
irgendeiner,Alguém
subcentral.de,subcentral.de
ward,ala
besuche,visitas
schreckliches,Terrível
schoss,colo
collins,Collins
werkzeug,ferramenta
kranken,sofrer
neffe,sobrinho
sue,processar
